CORPUS,DIAMETER,HUB_THICKNESS,MODEL,MODEL_NAME,PITCH,Performance_File,SHAFT_DIAMETER,WEIGHT
UAV,406.4,12.192,apc_propellers_16x12E,apc_propellers_16x12E,304.8,PER3_16x12E.dat,6.35,0.051981414
UAV,406.4,19.812,apc_propellers_16x13,apc_propellers_16x13,330.2,PER3_16x13.dat,7.9375,0.106049342
UAV,406.4,19.558,apc_propellers_16x14,apc_propellers_16x14,355.6,PER3_16x14.dat,7.9375,0.104915367
UAV,406.4,19.05,apc_propellers_16x16,apc_propellers_16x16,406.4,PER3_16x16.dat,7.9375,0.104053546
UAV,406.4,12.446,apc_propellers_16x4E,apc_propellers_16x4E,101.6,PER3_16x4E.dat,6.35,0.055020467
UAV,406.4,13.716,apc_propellers_16x4W,apc_propellers_16x4W,101.6,PER3_16x4W.dat,7.9375,0.085048125
UAV,406.4,9.398,apc_propellers_16x5_5MR,apc_propellers_16x5_5MR,139.7,PER3_16x55MR.dat,6.35,0.043952871
UAV,406.4,14.478,apc_propellers_16x6,apc_propellers_16x6,152.4,PER3_16x6.dat,7.9375,0.089856179
UAV,406.4,12.954,apc_propellers_16x6E,apc_propellers_16x6E,152.4,PER3_16x6E.dat,6.35,0.056018365
UAV,406.4,15.494,apc_propellers_16x7,apc_propellers_16x7,177.8,PER3_16x7.dat,7.9375,0.094981746
UAV,406.4,18.288,apc_propellers_16x8,apc_propellers_16x8,203.2,PER3_16x8.dat,7.9375,0.100923775
UAV,406.4,11.938,apc_propellers_16x8E,apc_propellers_16x8E,203.2,PER3_16x8E.dat,6.35,0.051981414
UAV,431.8,18.542,apc_propellers_17x10,apc_propellers_17x10,254,PER3_17x10.dat,7.9375,0.115121142
UAV,431.8,12.446,apc_propellers_17x10E,apc_propellers_17x10E,254,PER3_17x10E.dat,6.35,0.064001549
UAV,431.8,17.526,apc_propellers_17x10N,apc_propellers_17x10N,254,PER3_17x10N.dat,7.9375,0.098111517
UAV,431.8,12.7,apc_propellers_17x10WE,apc_propellers_17x10WE,254,PER3_17x10WE.dat,6.35,0.084004868
UAV,431.8,19.812,apc_propellers_17x12,apc_propellers_17x12,304.8,PER3_17x12.dat,7.9375,0.119929196
UAV,431.8,12.7,apc_propellers_17x12E,apc_propellers_17x12E,304.8,PER3_17x12E.dat,6.35,0.0680385
UAV,431.8,20.066,apc_propellers_17x12W,apc_propellers_17x12W,304.8,PER3_17x12W.dat,7.9375,0.132947229
UAV,431.8,19.304,apc_propellers_17x13,apc_propellers_17x13,330.2,PER3_17x13.dat,7.9375,0.1179334
UAV,431.8,11.176,apc_propellers_17x4W,apc_propellers_17x4W,101.6,PER3_17x4W.dat,7.9375,0.094981746
UAV,431.8,17.78,apc_propellers_17x6,apc_propellers_17x6,152.4,PER3_17x6.dat,7.9375,0.111991371
UAV,431.8,11.938,apc_propellers_17x6E,apc_propellers_17x6E,152.4,PER3_17x6E.dat,6.35,0.064001549
UAV,431.8,11.938,apc_propellers_17x7E,apc_propellers_17x7E,177.8,PER3_17x7E.dat,6.35,0.064001549
UAV,431.8,18.288,apc_propellers_17x8,apc_propellers_17x8,203.2,PER3_17x8.dat,7.9375,0.115937604
UAV,431.8,12.192,apc_propellers_17x8E,apc_propellers_17x8E,203.2,PER3_17x8E.dat,6.35,0.064001549
UAV,431.8,17.018,apc_propellers_17x8N,apc_propellers_17x8N,203.2,PER3_17x8N.dat,7.9375,0.094119925
UAV,459.74,19.558,apc_propellers_18_1x10,apc_propellers_18_1x10,254,PER3_181x10.dat,7.9375,0.132947229
UAV,459.74,19.558,apc_propellers_18_1x12,apc_propellers_18_1x12,304.8,PER3_181x12.dat,7.9375,0.125009404
UAV,457.2,15.748,apc_propellers_18x10,apc_propellers_18x10,254,PER3_18x10.dat,7.9375,0.132947229
UAV,457.2,12.446,apc_propellers_18x10E,apc_propellers_18x10E,254,PER3_18x10E.dat,6.35,0.072982631
UAV,457.2,17.526,apc_propellers_18x12,apc_propellers_18x12,304.8,PER3_18x12.dat,7.9375,0.144876646
UAV,457.2,12.7,apc_propellers_18x12E,apc_propellers_18x12E,304.8,PER3_18x12E.dat,6.35,0.073980529
UAV,457.2,13.208,apc_propellers_18x12WE,apc_propellers_18x12WE,304.8,PER3_18x12WE.dat,6.35,0.079015378
UAV,457.2,19.304,apc_propellers_18x14,apc_propellers_18x14,355.6,PER3_18x14.dat,7.9375,0.151090829
UAV,457.2,10.414,apc_propellers_18x5_5MR,apc_propellers_18x5_5MR,139.7,PER3_18x55MR.dat,6.35,0.061007855
UAV,457.2,15.24,apc_propellers_18x6W,apc_propellers_18x6W,152.4,PER3_18x6W.dat,7.9375,0.134943025
UAV,457.2,14.986,apc_propellers_18x8,apc_propellers_18x8,203.2,PER3_18x8.dat,7.9375,0.132130767
UAV,457.2,12.446,apc_propellers_18x8E,apc_propellers_18x8E,203.2,PER3_18x8E.dat,6.35,0.072982631
UAV,457.2,14.732,apc_propellers_18x8W,apc_propellers_18x8W,203.2,PER3_18x8W.dat,7.9375,0.14288085
UAV,482.6,12.446,apc_propellers_19x10E,apc_propellers_19x10E,254,PER3_19x10E.dat,6.35,0.08300697
UAV,482.6,20.32,apc_propellers_19x11,apc_propellers_19x11,279.4,PER3_19x11.dat,7.9375,0.132130767
UAV,482.6,12.7,apc_propellers_19x12E,apc_propellers_19x12E,304.8,PER3_19x12E.dat,6.35,0.08300697
UAV,482.6,13.97,apc_propellers_19x12WE,apc_propellers_19x12WE,304.8,PER3_19x12WE.dat,6.35,0.111991371
UAV,482.6,12.446,apc_propellers_19x8E,apc_propellers_19x8E,203.2,PER3_19x8E.dat,6.35,0.08300697
UAV,482.6,14.224,apc_propellers_19x8W,apc_propellers_19x8W,203.2,PER3_19x8W.dat,7.9375,0.163020246
UAV,520.7,12.446,apc_propellers_20_5x12WE,apc_propellers_20_5x12WE,304.8,PER3_205x12WE.dat,6.35,0.130996792
UAV,520.7,14.732,apc_propellers_20_5x14E,apc_propellers_20_5x14E,355.6,PER3_205x14E.dat,6.35,0.123058967
UAV,508,18.542,apc_propellers_20x10,apc_propellers_20x10,254,PER3_20x10.dat,7.9375,0.1859719
