        69x13_6_1200_41_890                                 (69x13_6_1200_41_890.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        76.1        0.65      0.5992      0.2918      0.3149     230.924    8086.042     682.295  
        80.5        0.68      0.6224      0.2879      0.3167     232.265    8132.065     673.078  
        85.0        0.72      0.6476      0.2840      0.3169     232.399    8138.261     664.086  
        89.5        0.76      0.6714      0.2796      0.3168     232.399    8134.721     653.745  
        94.0        0.80      0.6937      0.2746      0.3162     231.862    8120.559     642.055  
        98.4        0.84      0.7122      0.2687      0.3157     231.594    8107.283     628.341  
       102.9        0.87      0.7320      0.2626      0.3138     230.119    8058.604     613.953  
       107.4        0.91      0.7506      0.2559      0.3113     228.376    7993.994     598.442  
       111.8        0.95      0.7679      0.2488      0.3081     225.962    7911.682     581.806  



